Emotion,Text
positive,early travel game goin patriot game
positive,way home seeing rodney concert love thanks bob
negative,think talkin find whole time laughing loud damn would hate
positive,big shout brother colby turning big crazy turn turn
positive,lockdown tonight nice movie night
positive,money motive feel sorry
negative,saw movie block poverty existed saw rich made attempt help poor
positive,completely excellent dave matthew concert jason mraz opened amp heard quot stay leave quot amp quot crush quot first time live
positive,p liam going look like tool train city hopefully scare old people
positive,okay let go fast whoa thing really fast
negative,close friend took leave went israel one year
positive,time hittin hay later tweeps ala billy great american
positive,happy mother day
negative,delete fbook went respond magnificent tv post could find
negative,good day come right missed today though
positive,lovely day bristol far twilight tonight sarcasm
negative,come conclusion issue especially folk know better
positive,bit time getting root sorted tonight match colour rest hair
negative,damn damn blast tomorrow sam running could see could join next week
negative,quot getting authentic philly cheesesteak quot movement really grinding gear bout bust accent
positive,coming lecture listen talking feeling happy foreigner feeling chinese
negative,earthquake several minute eight floor
positive,may could resist
negative,revrunwisdom afraid tomorrow seen yesterday love today le good practical
negative,enjoying couch last time
positive,teeth checked eye dying coffee drink hour
positive,first drunk person spotted minute city
positive,contemplating borrowing one mom dog today want take care someone
negative,sorry help
negative,love certain young man pretended love one day found another girlfriend also friend mine
negative,feel free warned weighed day ever
negative,everytime come home work nite sprint house
negative,hell happened online time crossword puzzle anger
negative,woman worth effort certainly worth effort think yu lookin laughing loud
positive,time unpack finish homework
negative,awkward moment check dm find day ago
negative,think may look little silly also camera broken photo
positive,tomorrow black friday work retail tired shake go see
negative,finally feel like nice summer day feeling sick
negative,jackalltimelow wish could go melbourne show parent let cry
negative,wanted taylor swift katy perry nominated album year awk
negative,heart broke little little mean lot
negative,people without permission pry belonging take thing
negative,ay finally laughing loud time hookah get twiiter love ya
positive,mean famous congrats
positive,love babe much really mean lot
positive,mind begin well could easily mistaken translation hermit verse composed beehive hut contented holy man old ireland
negative,grounded tonight hate stupid silent mode
positive,created monster oh got baby home safe sound
negative,found like aunt twitter none follow follow sister lt
negative,class miss class
