Emotion,Text
fear,look backwards look around faith always look
happiness,thanks glad liked flower made diamond
sadness,feel sadness fact born better appearance
sadness,missed missed companionable secrecy relationship miserable
love,happy mother day twitter mom sent mom sleepy video phone called
fear,thank much tonight truly blessing god give come
sadness,look look old look thirty
sadness,playing leaving today
sadness,hey care explain turner gill fella
empty,oh yah angel came harrassed tried break house laughing loud
happiness,well good job two cousin graduate good luck life lt never wear pajama pant school gt
love,happy mother day mother lt
surprise,morning dad weirdest dream marine shot terrorist throat find key yet
sadness,work finish booooo
joy,alexander smith detective agency series
happiness,cool thank much love
happiness,got rite ear peirced brother got first left ear also got new septum bar one black c bar ball
surprise,fixing hilarious walk thru door happy face smiley
fear,say remember happened last time faith say quot last time time keep faith trust god
sadness,either shape job line
worry,tonight
sadness,local library web site see book put hold yet frown sad andry pouting
surprise,late night diner trip
sadness,tip finger hurt laugh as
sadness,want play pushing daisy dvd want make icon copy protection gone bonkers
sadness,kind feel weird people grow faster pace
worry,far everybody look good momma goat kid month hope week
relief,glad fine thanks another night full
worry,oww bit tongue
sadness,last day high school going miss friend
sadness,hear anything outta left ear
joy,find happiness thing
fear,people popular movement different kind disquiet leadership
sadness,went bar order ellie settled back seat rather sad light eye watched
fear,individual become excessively nervous visiting vet example good idea begin visit early dog life
happiness,thanks
sadness,sleep maybe could fun pay gum fanzinator flow someone sleepwithjosh
love,biggest crush pink know alive
joy,working overtime till get come open
happiness,ohhh yea film one fave time humma humma
anger,want sprinkle pepper chunk coffee
sadness,hit car leave note http yea put whatever want note
relief,p liam going look like tool train city hopefully scare old people
joy,happy huntsville craig ffh co beautiful church weekend also love ffh singing christmas music
happiness,work gettin paid sit arse guest yet mum comin
happiness,yey holiday monday uk today chilled day
worry,chriscuzzy seem desperate say probly enough
joy,able prepare better important examination spend nitht student hostel done month day exam somebody knocked door seven clock morning like sleeping late come able
joy,highlight whole tournament almost irrespective performance field south africa emergence wood coming cold generating great excitement
worry,claires party amazing headache
sadness,made camp grumbled henry rather like sad child
sadness,friend argued sad want lose friend
love,love music like almost everything
love,love look fabulous nice learn something new
joy,meant day today ironically instead yesterday seminar moved today
surprise,chick shut stop chirping sit bloody thing
sadness,puppy freaking adorable want let go
hate,working painting due school hating sleeping damn day starting late
worry,ugh realized completely redo tweetdeck group pain computer wiped clean
hate,take shipment way figuring quot deliver quot bring back database anyone
joy,got home simon lt time go sleep prepare hour practice
fun,thinking ny morning plan tonight well anyway
anger,tired opinion think
surprise,farewell party one buddy break life would least expected
anger,female classmate always late meeting homework social gathering busy deadline close waste half hour hour waiting could nothing else
joy,scoring goal football match
surprise,good day nothing learning today
joy,ecstatic like winning first cap
joy,time unpack finish homework
disgust,girl whore rt candy deep throat regular bitch open love suck penis
happiness,eating cooky sitting around week thanks andrea dear
fear,voting america like eating corn kernel bother input shit coming show input usa
love,going knit felted heart toy mum mother day great really love anything give love ya mummy
surprise,surprising much billy idol turn tweet monitor constantly obsessed anything
love,annual pass universal looove love disney know would summer
relief,morning lol know slept
joy,back school tomorrow wait see people attend school
worry,stunning business card ashamed mine http
sadness,mari people speculating sheriff dy next week might cry want
worry,feeling like shit hope swine flu something
sadness,agree great day window see
fear,afraid tomorrow seen yesterday love today le
