Emotion,Text
positive,sage act upgrade list tommorow
negative,way homegirl baby funeral man hate funeral really show blessed
positive,eye true brilliant regular feature open countenance complexion oh bloom full health pretty height size firm figure health merely bloom air head glance one hears sometimes child picture health always give idea complete picture health loveliness
negative,expecting extremely important phonecall minute terror opportunity
negative,wait see live missing painful performing last gig delhi
negative,bull tossed effigy hand became infuriated
negative,people hide behind fake smile
positive,life leopold must truly happy hope prayer beloved son seemed last come fruition
negative,assault laughter nothing stand mark twain
negative,everything everybody
negative,dress mm lens pain frown sad andry pouting
positive,haha course come home different house leave parent redo entire downstairs without warning
positive,feeling fail french
positive,need tell something guess go phone fucked
positive,fell love overnight felt confidence responsible worthwhile
negative,primitive instinct warns pay attention danger tell act save
negative,riding friend car speed motorway would liked get
negative,welcome glad could make night love please leave frown sad andry pouting going miss much
positive,another ending almost pooped pant end last week crazy ending
positive,one could get terribly ecstatic would dangerous thing
negative,much losing something going fat burger dinner dad
positive,selected study university
negative,friend misunderstood know good
negative,nicolescherzy nicosherzinger xa xa add three thing symptom called nervoso xa xa want learn
negative,nobody doubted failed recognise temporary financial embarrassment
positive,passed exam first class result
positive,pop amp roll across floor
negative,oh goodness december window open house winter jack frost missing
negative,year ago father ill stayed hospital long time experienced terrible feeling might lose
negative,thought already agreed everything going take week
negative,parent allow go social function friend attending
negative,quot family bedrock society unless protect institution marriage country quot
negative,bro team lost least played swag
positive,heard selected fot first year university zambia form five secondary school
negative,someone tried rape one best friend claimed fault hassled claimed loose threatened sue
positive,welp time study next day
positive,heading campus rain take grad photo
negative,dismay way kid savaging flora stonethwaite good example
negative,moment terror go drink hot chocolate knowing burn mouth
negative,well lot pressure bos assigned three project deadline near still finished project
negative,apparently lost
negative,mattmosley shakiest lead history college laughing loud
negative,people get trapped elevator actually take stair next time let take wear quote life
negative,rarely desperate need someone talk tonight one night everyone sleeping loss
negative,h one class counselor died sensitive knew drew improve image missed funeral could publically grieve parent understand
positive,good morning store today
positive,thebodyshopuk brings bought christmas present load shop happy face smiley
positive,almost forgot hair red looked mirror
negative,heard father found letter boyfriend calling talk
negative,result seeing walk situation lord faith realizing get
negative,shot horrified look
positive,life leopold must truly happy hope prayer beloved son seemed last come fruition
negative,two year ago saw film tv even make afraid
positive,class jamming last paper quarter reason celebrate though studying begin right
negative,seeing stray dog run right pas morehouse campus
negative,side effect smoking reefer
negative,year old frequently pursued others got sound
negative,frankyfade team hot andrealandis iammynority friscolopez iamthefabian yes sir
positive,wait sleep tomorrow must study tonight tomorrow next night oh essay due
negative,suppressing annoyance called little sara replied well
positive,time unpack finish homework
positive,stopped today gas small town attendant came tell quot full service young tweeter clue
positive,wait open christmas prezzie christmas
positive,decorating entire house christmas cheer mommy
negative,sly left feeling absolutely livid
negative,sorry blanket comfortable enough kid hehasfeelingstoo eats scab
negative,left student newspaper chinese university table library disappeared came back
positive,concert appeared good forgot hard work done remained joy feeling warmth security etc
negative,girl picture book twitter pic lol nah used rather tried laughing loud
positive,trouble come realise gone watching rerun living one oh
negative,glanced saw auguste anguished eye thought understood
positive,world give happiness one last lot longer gofigure
negative,dipped cotton wool water dabbed livid puffy eye
negative,sad afforded welcome given beirut hostage told deeply moved audience agm last month
positive,oh early morning preaching father
positive,robbed hav entered mean provided joy prayer communion w god
positive,thought would stop say spend christmas holiday lake miss
negative,afraid tomorrow saw yesterday love today le
positive,chris paul sum go clipper know lose
negative,time lost badminton match zambia closed badminton championship
positive,advertisement appeared novoye russkoye weekend causing buzz excitement soviet expatriate enclave brighton beach also known little odessa
negative,anxiety lifted think going pas statistic maybe even half decent got third exam
positive,thrilled reunite best friend today raining though find way theater dance show downtown
negative,wait till factor love show missed watching happy face smiley
positive,study day tomorrow day saturday sunday
negative,saw empty summer box next aunt fridge found
negative,nearly year later driving freeway rush hour without fear conquered confidence feel great
negative,voice shook face white anguish
negative,going loner target hob
positive,would normally push heart rate pulse already racing due alcohol dancing general party excitement increase noticeable normal
negative,teacher suspicious popularity annoyed lack interest academic work infuriated could still achieve high mark examination
negative,broke artistic work several week change made broken without permission right
positive,took nap hour watching christmas movie
negative,owner mean heartbreak loss family pet
negative,impossible cheated
negative,afternoon nap burning episode dvd prepare stu hard drive frown sad andry pouting
positive,ill working black friday
negative,home sleeping heard robber breaking house
negative,want english bulldog puppy
negative,disappointed actually consider taylor swift role movie version le mi
positive,wish everyone saw church highlight christmas
negative,linked poor performance exodus west east german disgruntled communism
negative,expression community sympathy many local child south ronaldsay made sent card four devastated mother
negative,guy friend going come window fell asleep came frown sad andry pouting
negative,amp make pleasant wonderful memory right xa recovery survivor stopabuse ptsd
positive,people bring joy wherever go people bring joy whenever mark twain
positive,yaay brother said play badminton tomorrow laughing big grin laugh glass
positive,going concert
negative,informed flatmate would moved flat would expected u buy food event actually happened month sharing began prior said nothing
negative,revrunwisdom afraid tomorrow seen yesterday love today le
negative,get impression arouse anger see one angry respect nixon
positive,many thing morning go swimming boating afternoon play basketball tennis sit around camp fire sing tell story
positive,arabic coffee make happy
negative,feel afraid way great friend look also little afraid direction going
positive,morning tweeps hope guy great filled happyness
positive,received first year result first year involved lot work pleased got result
negative,got back last history class next semestre
negative,terrible furious impotent anger filled making want strike shout scream
negative,another day spent bed really get life
negative,concered hights today went way top climbing sooo proud beat enrique quad biking laughing big grin laugh glass love girl x
negative,soldier quarrelled may revenge detailed duty two successive night naturally checked second night found asleep sent cell
positive,getting ready baby shower work hoping one work following twitter hahaha surprise
positive,lady concert sketchy people
negative,want sheila know much appreciate kindness shown earlier mood despondency
positive,passed form three exam
positive,throat fire guess going doctor tomorrow news tonight successful night praise god
negative,strong darkness strong soul pure bright brave beam light
positive,matter old anytime leaf air blast closest person brings
negative,thought failed examination
positive,even though mean af person still buying something guess
positive,since passed last year get spend math hour absolutely nothing library
negative,became conscious men wnat anything goal sex important
positive,well special day say survive first year rest smooth sailing
positive,aunt coming visit nice
negative,seem terribly sad
negative,day followed brackenbury hasty departure edward despondency increased
positive,last night worth opened wallet though
negative,father promised bicycle birthday birthday forgot promised
negative,auguste shot indignant glance
negative,losing spark haunt everyday
negative,worked several classmate project anxious project partner showed concern meeting project classmate pay attention read book others argued irrelevant question meeting would go two hour without main theme discussed wasted time could reach compromise classmate avoided work responsibility seemed value project one
negative,false evidence appearing real
positive,son returned healthy body soul
negative,water level rising near home flooding
negative,kid brother broke reading
negative,really mary horrible
negative,close eye wake truth
positive,doomed forget something shitty luck
negative,america new north korea china germany russia military controlled censoring paranoid
negative,trumpet clown enormous sorrowful eye coming seat wanted run away
positive,lifeguard training tomorrow evening
negative,earlier friend spreading negative rumour
negative,newcomer feel local population occasion become resentful almost tribal clannishness
negative,understand mood disgruntled call
positive,seein folk overcome limitation seeing dream capacity compass
positive,birthday christmas right around corner idea want
negative,funny people follow eventually unfollow never followed back
positive,aww one mom old special ed student like year ago came visited soo cute made day happy face smiley
negative,used sad pathetic miserable
positive,bought first xmas gift today full love christmas time
negative,mean rachel mother asked slowly ignoring husband indignant look
positive,type get text baby fine moving amp heart beating since given rh shot safe baby fine
positive,harry potter dressed professor hate sex
negative,mom asked cole caught deer year mom kill deer
positive,today time work crutch tomorrow
positive,miracle scripture behold virgin shall conceive amp bear son amp shall call name immanuel
negative,talk going well pissed play acting playing dangerous game flashmen skynews skypapers
negative,one morning hard left day sun food bevy need get plane journey scary shit like
negative,saw brother attacked could anything
negative,concerned happen
negative,happy never say thankful one best friend
positive,wear crown cuz deserve
positive,holiday seeing
negative,pretty sure kiss ever play different song tgif remix piss say
positive,minute shard glass slashed across rohmer ecstatic face
negative,quot period poop definitely smelled like period poop quot
negative,intelligence put man throne faith put god
negative,nothing would satisfy see light leave eye know longer draw breath
negative,hoskyns another year live angry university
negative,losing people love
positive,bomb physic test
positive,good morning world
negative,merciful wave closing healing despair
negative,relative death
negative,quot fear keep u night long f h make one fine pillow quot
positive,eating first candy cane season
negative,considered one world beautiful woman yesterday every line etched britt ekland face told story personal anguish
negative,giving seminar rather large audience
negative,wish london could go square wish could meet
negative,yes seems never accept marriage fight last night
negative,smh really sad basketball look forward march madness
negative,brazil example miffed summit scheduled date inauguration new president next month
negative,son fell age month became nervous thought would defect head
positive,excited party party tomorrow night one besties miss emma rose happy face smiley xxxx
